Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.0,360.00200000009994,0.0,0.0,0.22530531883239746,,,,,,,,,,,,,,,,,,,,,148.71137061592373,96.1257131358297,303.55298156942473,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,57.0,2.0,17.0,57.0,0.0,120.00200000010001,0.0,0.0,1.446241855621338,,,,,,,,,,,,,,,,,,,,,45.285840787602666,38.29734614737032,113.43778491536114,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,79.0,3.0,22.0,79.0,0.0,175.0020000001,0.0,0.0,3.1840438842773438,,,,,,,,,,,,,,,,,,,,,70.11562661724041,53.66342616251914,161.18844661041115,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,135.0,4.0,56.0,135.0,0.0,375.02499999999975,0.0,0.0,7.2670722007751465,,,,,,,,,,,,,,,,,,,,,137.59179160845738,88.79303950548837,300.9834310093574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,217.0,5.0,82.0,217.0,0.0,810.0030000001,0.0,0.0,13.099159717559814,,,,,,,,,,,,,,,,,,,,,305.8794504716612,183.343791683229,564.8301521346845,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,254.0,6.0,37.0,254.0,0.0,385.0030000000999,0.0,0.0,16.14963459968567,,,,,,,,,,,,,,,,,,,,,179.80235489341345,93.88723365223325,321.6930592823605,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,301.0,7.0,47.0,301.0,0.0,435.0129999999997,0.0,0.0,19.5926730632782,,,,,,,,,,,,,,,,,,,,,174.59125653547068,120.56415041509649,356.5203125538673,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,380.0,8.0,79.0,380.0,0.0,700.0020000001,0.0,0.0,25.177053213119507,,,,,,,,,,,,,,,,,,,,,279.1732835137824,134.681926252311,484.29808689314297,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,418.0,9.0,38.0,418.0,0.0,275.00699999999983,0.0,0.0,28.011250734329224,,,,,,,,,,,,,,,,,,,,,105.96704411375522,71.89752018427295,237.11062953209384,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,484.0,10.0,66.0,484.0,0.0,600.0030000001,0.0,0.0,32.703216314315796,,,,,,,,,,,,,,,,,,,,,229.99383820643138,142.93124018402227,452.734410892783,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,516.0,11.0,32.0,516.0,0.0,580.0070000000999,0.0,0.0,35.168899059295654,,,,,,,,,,,,,,,,,,,,,283.56555882669215,198.61088670641647,494.2081021975338,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,533.0,12.0,17.0,533.0,0.0,165.0020000001,0.0,0.0,36.565260887145996,,,,,,,,,,,,,,,,,,,,,80.0295962311084,47.990469389617054,152.9262309503147,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,566.0,13.0,33.0,566.0,0.0,290.00100000019995,0.0,0.0,39.102845430374146,,,,,,,,,,,,,,,,,,,,,129.65453428975354,70.10481584666799,249.71212493392045,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,599.0,14.0,33.0,599.0,0.0,245.00200000019998,0.0,0.0,41.57108926773071,,,,,,,,,,,,,,,,,,,,,90.04439030630961,71.3150404534305,217.46197090819973,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,634.0,15.0,35.0,634.0,0.0,300.00200000009994,0.0,0.0,44.1891725063324,,,,,,,,,,,,,,,,,,,,,121.29110051773007,84.13202761960392,260.1516311301964,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,0.0,0.0,21.0,1.0,21.0,655.0,0.0,155.00200000019998,0.0,0.0,99.88487029075623,,,,,,,,,,,,,,,,,,,,,58.50665411114295,48.95276935857246,144.15717438066665,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.0,0.0,0.0,59.0,2.0,38.0,693.0,0.0,285.0030000000999,0.0,0.0,102.70842838287354,,,,,,,,,,,,,,,,,,,,,104.11533840375527,80.67911907423829,247.91835495623522,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,0.0,135.0,3.0,76.0,769.0,0.0,615.0020000002,0.0,0.0,108.10708975791931,,,,,,,,,,,,,,,,,,,,,227.01890075407357,133.72766887255784,446.937005481923,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,191.0,4.0,56.0,825.0,0.0,490.00100000009996,0.0,0.0,112.09891176223755,,,,,,,,,,,,,,,,,,,,,190.89106002863542,118.87060608690471,386.97172362026674,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,239.0,5.0,48.0,873.0,0.0,405.00200000009994,0.0,0.0,115.57217717170715,,,,,,,,,,,,,,,,,,,,,163.23793272759727,98.24592451200633,329.9472649402557,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,275.0,6.0,36.0,909.0,0.0,300.00100000019995,0.0,0.0,118.28499484062195,,,,,,,,,,,,,,,,,,,,,122.78023473827268,81.32172623639431,258.3839550448705,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,303.0,7.0,28.0,937.0,0.0,280.00100000019995,0.0,0.0,120.39877772331238,,,,,,,,,,,,,,,,,,,,,131.52494110123675,73.33895742963797,245.63031968874105,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,327.0,8.0,24.0,961.0,0.0,190.00200000019998,0.0,0.0,122.27184820175171,,,,,,,,,,,,,,,,,,,,,74.78597779169564,58.31455473946017,173.79127811130599,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,343.0,9.0,16.0,977.0,0.0,105.00300000010002,0.0,0.0,123.6138243675232,,,,,,,,,,,,,,,,,,,,,37.19964174194176,34.49909445387424,100.05157305190836,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,386.0,10.0,43.0,1020.0,0.0,435.00100000009996,0.0,0.0,126.94321274757385,,,,,,,,,,,,,,,,,,,,,197.3794436829321,98.71012865455795,353.66448405700913,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,419.0,11.0,33.0,1053.0,0.0,305.0040000000999,0.0,0.0,129.4708116054535,,,,,,,,,,,,,,,,,,,,,131.92549934867571,83.0767333685753,264.10968203539085,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,455.0,12.0,36.0,1089.0,0.0,275.0030000000999,0.0,0.0,132.3250551223755,,,,,,,,,,,,,,,,,,,,,101.95890269811808,78.9088344456768,240.70484346341146,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,519.0,13.0,64.0,1153.0,0.0,425.0159999999996,0.0,0.0,136.84046149253845,,,,,,,,,,,,,,,,,,,,,141.66422423195968,109.37406976380176,337.7281782742888,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,594.0,14.0,75.0,1228.0,0.0,620.0020000001,0.0,0.0,142.34948420524597,,,,,,,,,,,,,,,,,,,,,239.1683664289864,126.48887252557368,445.0764900791515,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,649.0,15.0,55.0,1283.0,0.0,510.00200000009994,0.0,0.0,146.26643133163452,,,,,,,,,,,,,,,,,,,,,205.4495018157625,124.5687566311794,401.0149232337682,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.0,0.0,0.0,44.0,1.0,44.0,1327.0,0.0,375.0030000001999,0.0,0.0,196.19207668304443,,,,,,,,,,,,,,,,,,,,,145.93508024188625,102.56290609988683,313.9308734280505,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
