Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,319.0,1.0,319.0,319.0,0.0,3047.5,0.0,0.0,0.016396045684814453,,,,,,,,,,,,,,,,,,,,,673.8719555035938,238.0060606420764,913.834162645662,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,637.0,2.0,318.0,637.0,0.0,3151.5,0.0,0.0,21.739322900772095,,,,,,,,,,,,,,,,,,,,,694.3559200208816,251.69143888487503,952.977953872319,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,965.0,3.0,328.0,965.0,0.0,3166.0,0.0,0.0,44.0486581325531,,,,,,,,,,,,,,,,,,,,,685.2047268468864,245.44215697742914,935.3046793748007,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1281.0,4.0,316.0,1281.0,0.0,2989.0,0.0,0.0,65.60835361480713,,,,,,,,,,,,,,,,,,,,,650.1863743383904,260.44378183896094,943.849552616855,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1606.0,5.0,325.0,1606.0,0.0,3174.0,0.0,0.0,87.76503038406372,,,,,,,,,,,,,,,,,,,,,690.0456415274367,247.12558883215053,940.7592576119499,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1930.0,6.0,324.0,1930.0,0.0,3218.5015000000003,0.0,0.0,110.09936809539795,,,,,,,,,,,,,,,,,,,,,699.8986591737242,258.8138897369024,960.4341861385186,61.5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,2247.0,7.0,317.0,2247.0,0.0,3084.5,0.0,0.0,131.71534609794617,,,,,,,,,,,,,,,,,,,,,676.8096863230845,248.23034622844568,948.4982771270927,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,2572.0,8.0,325.0,2572.0,0.0,3174.0,0.0,0.0,153.82942008972168,,,,,,,,,,,,,,,,,,,,,686.4967268601295,252.31125341477951,952.4097350551299,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,2897.0,9.0,325.0,2897.0,0.0,3088.5,0.0,0.0,175.90121722221375,,,,,,,,,,,,,,,,,,,,,668.5529611818313,233.1535220218455,924.9524001606545,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,3222.0,10.0,325.0,3222.0,0.0,3231.0,0.0,0.0,198.19683480262756,,,,,,,,,,,,,,,,,,,,,701.689980662531,254.57100849552987,960.1086493401754,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,3545.0,11.0,323.0,3545.0,0.0,3059.0,0.0,0.0,220.19092226028442,,,,,,,,,,,,,,,,,,,,,657.1768365972687,250.55559994261344,945.7765836270924,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,3871.0,12.0,326.0,3871.0,0.0,3212.5,0.0,0.0,242.40731692314148,,,,,,,,,,,,,,,,,,,,,695.2286716086821,249.4027979257144,955.610636924946,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,4197.0,13.0,326.0,4197.0,0.0,3108.0,0.0,0.0,264.83929419517517,,,,,,,,,,,,,,,,,,,,,669.4434920992195,233.19866368446608,934.9638542995397,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
